hotel_name,rating
Hilton_Garden_Inn_San_Diego_Mission_Valley_Stadium,4
San_Diego_Marriott_La_Jolla,4
Radisson_Hotel_San_Diego_Rancho_Bernardo,4
Best_Western_Americana_Inn,4
Hilton_San_Diego_Bayfront,4
San_Diego_Marriott_Gaslamp_Quarter,4
Inn_by_the_Sea,4
Hotel_Karlan_San_Diego_a_DoubleTree_by_Hilton,4
HI_San_Diego_Point_Loma_Hostel,4.5
Holiday_Inn_Express_La_Jolla,4.5
Holiday_Inn_Express_San_Diego_Downtown,4
Comfort_Inn_San_Diego_Old_Town,4
Hilton_Garden_Inn_San_Diego_Downtown_Bayside,4
Hampton_Inn_San_Diego_Downtown,4
La_Pensione,4
Fairfield_by_Marriott_San_Diego_Old_Town,4
La_Quinta_Inn_Suites_by_Wyndham_San_Diego_Mission_Bay,4
Good_Nite_Inn_near_SeaWorld,3.5
TownePlace_Suites_San_Diego_Airport_Liberty_Station,4.5
Hyatt_Regency_Mission_Bay_Spa_and_Marina,4
Hotel_Karlan_San_Diego_a_DoubleTree_by_Hilton,4
Courtyard_San_Diego_Mission_Valley_Hotel_Circle,4
Staybridge_Suites_San_Diego_Sorrento_Mesa,4
Western_Inn,4
Handlery_Hotel_San_Diego,3.5
San_Diego_Mission_Bay_Resort,4
Green_World_Inn,3.5
DoubleTree_by_Hilton_Hotel_San_Diego_Mission_Valley,4
Vagabond_Inn_San_Diego_Airport_Marina,4
PB_Surf_Beachside_Inn,4
Holiday_Inn_Express_Sea_World,4
Holiday_Inn_Express_San_Diego_Sea_World_Beach_Area,4
Comfort_Inn_Gaslamp_Convention_Center_Downtown,3.5
ITH_Beach_Bungalow_Surf_Hostel,4
The_Keating_Hotel_by_Pininfarina,3.5
Redwood_Hollow_La_Jolla_Cottages,4.5
Best_Western_Mission_Bay,4
Hilton_San_Diego_Mission_Valley,4
Hotel_La_Jolla_Curio_Collection_by_Hilton,4
Days_Inn_by_Wyndham_San_Diego_Hotel_Circle,3.5
Porto_Vista_Hotel_in_Little_Italy,3.5
Howard_Johnson_by_Wyndham_San_Diego_Sea_World,3.5
Capri_by_the_Sea_by_All_Seasons_Resort_Lodging,4
Parc_Suites_San_Diego,4.5
Legacy_Resort_Hotel_Spa,5
La_Jolla_Village_Lodge,4
Extended_Stay_America_San_Diego_Sorrento_Mesa,4
La_Quinta_Inn_Suites_by_Wyndham_San_Diego_SeaWorld_Zoo,3.5
La_Jolla_Riviera_Inn,4.5
Wyndham_San_Diego_Bayside,3.5
Riverleaf_Inn_Mission_Valley,4
La_Jolla_Village_Lodge,4
La_Quinta_Inn_by_Wyndham_San_Diego_Miramar,3.5
Holiday_Inn_San_Diego_North_Miramar,4
WorldMark_San_Diego_Balboa_Park,4
Carole_s_Bed_Breakfast_Inn,4.5
