categories,city,name,reviews.date,reviews.rating
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-17,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-17,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-10-30,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-24,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-11-17,1.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-10-14,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-02-13,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-02-16,4.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-04-30,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-09-27,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-10-02,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-02,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-08-24,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-05-02,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-30,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-10-24,3.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2015-12-23,2.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-06-07,5.0
"Conventions Conferences & Trade Shows,Wedding Receptions & Parties,Convention & Meeting Facilities & Services,Hotels",San Diego,Hilton San Diego Airport/harbor Island,2016-07-01,3.0
